time,open,high,low,close,Shapes,Shapes
1711361700,1.0819,1.0822,1.08186,1.08198,1,0
1711362600,1.08198,1.08203,1.08175,1.08178,0,0
1711363500,1.08178,1.08198,1.08165,1.0818,0,0
1711364400,1.0818,1.08206,1.08164,1.08202,0,1
1711365300,1.08202,1.08231,1.08192,1.0823,0,0
1711366200,1.0823,1.08256,1.08224,1.08252,0,0
1711367100,1.08252,1.08296,1.08248,1.08286,0,0
1711368000,1.08286,1.08312,1.0828,1.08288,0,0
1711368900,1.08288,1.08322,1.08287,1.08316,0,0
1711369800,1.08316,1.08341,1.08302,1.0834,0,0
1711370700,1.0834,1.08341,1.08304,1.08307,0,0
1711371600,1.08307,1.08376,1.08298,1.08371,1,0
1711372500,1.08371,1.08373,1.08292,1.08293,0,1
1711373400,1.08293,1.08376,1.08293,1.08356,0,0
1711374300,1.08356,1.0838,1.08348,1.08351,0,0
1711375200,1.08351,1.08392,1.08339,1.0839,0,1
1711376100,1.0839,1.08426,1.08387,1.08414,1,0
1711377000,1.08414,1.08414,1.0836,1.08372,0,1
1711377900,1.08372,1.084,1.08368,1.08391,0,0
1711378800,1.08391,1.08392,1.08316,1.08334,0,1
1711379700,1.08334,1.08349,1.08322,1.08332,0,0
1711380600,1.08332,1.08374,1.0833,1.0837,0,0
1711381500,1.0837,1.0839,1.08356,1.08368,1,0
1711382400,1.08368,1.08377,1.08331,1.08355,0,1
1711383300,1.08355,1.08371,1.08342,1.08371,0,0
1711384200,1.08371,1.08384,1.08348,1.08371,1,0
1711385100,1.08371,1.08371,1.08358,1.08366,0,0
1711386000,1.08366,1.08374,1.08346,1.0835,1,0
1711386900,1.0835,1.08372,1.08333,1.08372,0,1
1711387800,1.08372,1.0838,1.0836,1.08373,1,0
1711388700,1.08373,1.08378,1.08356,1.08366,0,0
1711389600,1.08366,1.08372,1.0835,1.08354,0,1
1711390500,1.08354,1.0837,1.08352,1.08368,0,0
1711391400,1.08368,1.08369,1.0836,1.08364,0,0
1711392300,1.08364,1.08373,1.08357,1.0836,0,1
1711393200,1.0836,1.0838,1.08358,1.08365,0,0
1711394100,1.08365,1.08392,1.08365,1.0839,0,0
1711395000,1.0839,1.084,1.08387,1.08397,0,0
1711395900,1.08397,1.084,1.0839,1.08392,0,0
1711396800,1.08392,1.08394,1.08387,1.08391,0,0
1711397700,1.08391,1.0841,1.08386,1.0839,1,0
1711398600,1.0839,1.08394,1.08372,1.08378,0,0
1711399500,1.08378,1.08379,1.08357,1.08375,0,1
1711400400,1.08375,1.08378,1.08372,1.08372,0,0
1711401300,1.08372,1.08376,1.08354,1.08374,0,1
1711402200,1.08374,1.08376,1.08359,1.08372,0,0
1711403100,1.08372,1.08378,1.08359,1.08368,0,0
1711404000,1.08368,1.08385,1.08367,1.0837,1,0
1711404900,1.0837,1.08375,1.08368,1.0837,0,0
1711405800,1.0837,1.0838,1.08368,1.0838,0,0
1711406700,1.0838,1.08382,1.0837,1.08371,0,0
1711407600,1.08371,1.08384,1.08364,1.08376,1,0
1711408500,1.08376,1.08382,1.08364,1.08376,0,0
1711409400,1.08376,1.08382,1.08376,1.0838,0,0
